word	formalized_word
22nya	dua-duanya
2x dua kali
7an	tujuan
@	di
Kacab	kepala cabang
Kontrak2	kontrak-kontrak
KorWil	koordinator wilayah
a	nya
aaaaaaaaaaaaaaaaammmmmmmmmmiiiiiiiiiinnnnnnnnnnnnmmmm	amin
aaaaaaakkk	ah
aaaaahhhh	ah
aaaammmiiiinnnn	amin
aaahh	ah
aaamiiin	amin
aaamiiinnn	amin
aaamiiinnnn	amin
aaamin	amin
aah	ah
aahh	ah
aama	sama
aamien	amien
aamiiiiinnn	amin
aamiiiin	amin
aamiiiinnnnn	amin
aamiiin	amin
aamiin	amin
aamiinin	amin
aamiinn	amin
aamiinnn	amin
aamin	amin
aaminn	amin
ababil	anak baru gede labil
abal"	abal-abal
abal2	abal-abal
abanggg	abang
abanggku	abangku
abeees	habis
abes	habis
abez	habis
abg	abang
abgnya	abangnya
abgnyaah	abangnya
abiiiiisssss	habis
abiiiss	habis
abis	habis
abis2	habis-habis
abiss	habis
abisss	habis
abiz	habis
abizzz	habis
abizzzz	habis
abs	habis
acak"n	acak-acakan
acara2	acara-acara
acarax	acaranya
acc	accord
acra	acara
ad	ada
ada2	ada-ada
adaa	ada
adain	adakan
adain	mengadakan
adapin	menghadapi
add	ada
adduuuhhh	aduh
ade	adek
adeeek	adek
adek2	adek-adek
adekx	adeknya
ademm	adem
ademmm	adem
adengan	adegan
adenya	adeknya
adeuh	aduh
adiik	adik
adkah	adakah
adl	adalah
adlah	adalah
adlh	adalah
adoh	aduh
aduhh	aduh
aduhhh	aduh
aduhhhhhhhhh	aduh
aduuh	aduh
aduuhh	aduh
aduuhhh	aduh
aduuhhhh	aduh
aduuuh	aduh
adyem	adem
ae	saja
aee	saja
aelah	alah
aer	air
afaik	as far as i know
agama'ny	agamanya
agan2	agan-agan
agk	agak
agma	agama
aha	tertawa
ahaha	haha
ahahahanjirrr	anjir
ahh	ah
ahhh	ah
ahhhh	ah
aing	saya
aj	saja
aja	saja
ajaa	saja
ajaaa	saja
ajaaahhhhh	saja
ajah	saja
ajahhh	saja
ajaibb	ajaib
ajaibbbbb	ajaib
ajakin	mengajak
ajarin	ajarkan
aje	saja
ajep-ajep	dunia gemerlap
ajh	saja
ajha	saja
ajhh	saja
ajibb	ajib
ajj	saja
ajja	saja
ajjh	saja
ak	aku
aka	dikenal juga sebagai
akau	aku
akherot	akhirat
akhir2	akhir-akhir
akhirny	akhirnya
akhirt	akhirat
akhlah	akhlak
akhr	akhir
akhrnya	akhirnya
akhrt	akhirat
akika	aku
akko	aku
akkoh	aku
akku	aku
akn	akan
aktifin	aktifkan
akuh	aku
akuhh	aku
akuu	aku
akuuu	aku
akuuuur	akur
akuwh	aku
akyu	aku
ala2	ala-ala
alaami	alami
alak	kepala
alakadarnya	seadanya
alamii	alami
alamiii	alami
alay	norak
alesannya	alasannya
alesanya	alasannya
alhamd	alhamdulillah
alhamdlh	alhamdulillah
alhamdllh	aalhamdulillah
alhamdulilh	alhamdulillah
alhamdulillaaaaah	alhamdulillah
alhmdlh	alhamdulillah
alhmdllah	alhamdullilah
alhmdllh	alhamdulillah
alhmdulillah	alhaldulillah
alissnyaa	alisnya
aljasa	asal jadi saja
alkhamdulilah	alhamdulillah
allaahh	allah
allahh	allah
allahhhh	allah
allahhhhhh	allah
allahhhhhhh	allah
alloh	allah
alm	almarhum
almh	almarhumah
aloh	allah
alow	halo
alu	aku
am	sama
ama	sama
amaattt	amat
amad	amat
amatt	amat
ambilin	ambilkan
ambilin	mengambil
ambl	ambil
ameen	amin
amen	amin
amfun	ampun
amien	amin
amiend	amien
amiend	amin
amienn	amien
amienn	amin
amiennn	amien
amiennn	amin
amiennnn	amien
amiennnn	amin
amiien	amien
amiien	amin
amiienn	amin
amiiiiiiiiiiiiiiiiin	amin
amiiiiiiiiiiin	amin
amiiiiiiiiiinnnnnnn	amin
amiiiiin	amin
amiiiiinnn	amin
amiiiiinnnnn	amin
amiiiin	amin
amiiin	amin
amiiinn	amin
amiiinnn	amin
amiiinnnn	amin
amiin	amin
amiinn	amin
amiinnn	amin
amiinnnn	amin
amin2	amin-amin
aminn	amin
aminn2	amin-amin
aminnn	amin
aminnnn	amin
aminnnn2	amin-amin
aminnnnn	amin
amit2	amit-amit
ammiiin	amin
ammiinn	amin
ammin	amin
amn	aman
amohhh	kamu
ampe	sampai
amploppp	amplop
ampunn	ampun
ampunnnn	ampun
ampunnnnn	ampun
ampuun	ampun
ampuunn	ampun
ampuuun	ampun
ampuuunn	ampun
ampyunnnn	ampun
amu	kamu
anak"	anak-anak
anak'y	anaknya
anak2	anak-anak
anak2e	anak-anaknya
anak2mu	anak-anakmu
anak2nya	anak-anaknya
anakny	anaknya
anakx	anaknya
anak²	anak-anak
ancur	hancur
ancurrr	hancur
andaaa	anda
aned	banget
anedh	banget
aneed	banget
aneh2	aneh-aneh
anehhh	aneh
aneut	banget
angus	hangus
anj	anjing
anjaaaayyyyyy	anjay
anjaayy	anjay
anjayyyy	anjay
anjingnyaa	anjingnya
anjir	anjing
anjirr	anjir
anjirrr	anjir
anjirrrr	anjir
anjjjjjjjj	anjing
anjrit	anjing
ank	anak
ank"	anak-anak
ank"ny	anak-anaknya
ank2	anak-anak
ank2nya	anak-anaknya
ankknyaaa	anaknya
anknya	anaknya
ankq	anakku
